"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
8020;1;36;2;1;6;2;50;0;3;4;1;1;-77;2;4;4;4;3;4;3;3;2;3;3;3;3;3;3;3;2;4;3;3;5;2;8;1;1;1;1;1;1;1;1;1;1;3;3;2;3;2;3;4;4;4;1;2;1;3;1;0;1;1;99;99;99;99;99;3;1;6;5;1;5;7;1;1
8026;1;72;4;4;1;1;115;120;3;6;1;1;1;4;5;2;5;4;5;4;5;4;5;2;5;2;3;2;3;2;4;4;4;5;2;8;1;2;3;3;2;1;2;2;3;2;2;2;2;4;4;1;1;1;4;1;1;1;5;0;0;0;1;4;4;2;2;5;10;3;6;5;2;1;4;3;7
8030;1;44;2;1;8;2;73;0;7;8;1;1;-77;1;5;1;5;1;5;2;5;1;5;1;5;5;1;5;1;4;1;5;5;5;3;8;1;1;1;1;1;1;1;1;5;1;1;1;1;5;5;1;1;1;4;1;1;3;3;0;0;0;3;1;1;1;1;1;1;1;1;7;2;7;7;1;6
8031;1;70;4;3;11;1;83;107;4;5;1;1;1;2;4;2;5;2;3;3;3;2;5;2;5;4;1;1;3;4;5;3;4;3;2;8;1;3;3;3;3;1;1;3;4;3;3;3;3;2;3;1;1;1;4;2;3;2;3;0;0;0;2;4;1;5;2;4;7;1;3;5;2;5;7;1;7
8038;2;40;2;1;11;1;83;99;2;2;1;1;1;1;5;1;5;1;1;1;5;1;5;1;5;3;3;3;3;2;2;1;2;1;3;8;1;1;1;1;1;1;1;1;1;1;3;3;3;4;1;4;4;4;4;2;2;2;5;-99;-99;-99;1;1;1;1;1;1;99;1;1;7;2;6;5;1;1
8044;2;65;4;2;7;1;80;96;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;4;3;5;5;3;3;1;2;8;1;3;3;2;4;2;2;3;4;2;3;3;2;4;4;4;1;1;5;3;3;3;5;0;0;0;2;5;5;1;3;5;5;1;5;4;2;7;6;1;7
8046;1;50;3;2;8;2;203;0;6;6;1;1;-77;2;4;2;4;3;4;3;4;2;4;2;4;3;2;3;2;4;4;3;3;2;2;8;1;2;2;3;3;3;3;3;2;2;3;3;2;2;3;2;2;2;4;2;2;2;5;2;0;0;2;3;4;3;3;4;5;3;2;4;2;5;5;3;1
8047;1;61;4;3;6;1;78;94;6;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;6;6;3;3;3;2;8;1;2;2;3;2;1;2;2;4;1;3;3;3;4;5;1;1;1;4;1;1;1;3;-99;-99;-99;2;5;4;3;2;3;6;1;3;5;2;7;5;1;7
8052;2;38;2;3;13;1;68;86;6;6;1;1;1;1;5;1;5;4;4;4;4;2;4;2;4;2;3;2;3;6;6;4;4;1;2;8;1;2;3;3;3;2;2;2;3;3;4;4;3;4;4;1;1;1;4;2;2;2;5;0;1;0;2;5;5;3;3;5;2;3;3;5;2;6;7;3;1
8054;1;47;3;3;1;1;99;117;6;6;1;1;1;1;1;1;1;5;5;5;5;1;1;1;1;5;3;5;3;6;6;3;3;2;2;8;1;1;1;1;1;1;1;1;1;1;1;4;1;3;3;1;4;4;4;3;3;3;3;0;1;0;2;5;4;4;4;4;6;2;2;5;2;5;6;4;6
