"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
7418;1;69;4;4;7;1;82;100;4;4;1;1;1;3;5;3;5;4;5;4;5;3;5;3;5;3;3;3;3;2;3;5;5;3;2;8;1;3;3;2;2;3;3;4;4;3;3;4;3;4;3;1;1;1;4;1;1;1;5;0;0;0;2;2;5;1;2;5;6;1;3;4;2;2;5;4;7
7421;2;62;4;1;7;1;97;109;2;2;1;1;1;1;5;1;5;1;5;1;5;1;5;1;5;1;4;1;4;1;1;5;5;1;5;8;1;5;5;3;4;4;5;5;5;4;5;5;5;3;1;4;4;4;4;1;5;1;4;0;0;0;2;99;99;1;5;5;1;1;3;6;2;6;7;1;6
7428;2;58;3;1;14;1;73;89;4;4;1;1;1;3;4;3;4;3;3;4;4;3;4;3;4;3;3;2;2;4;4;3;4;6;3;8;1;3;3;3;3;2;2;2;3;2;3;3;4;4;3;1;1;1;4;2;2;2;3;0;0;0;2;4;4;3;3;4;3;2;4;4;2;4;4;2;5
7437;2;67;4;2;12;2;4234;0;5;5;1;1;-77;2;4;3;4;3;4;3;4;3;4;3;4;3;3;3;3;5;5;3;3;3;2;8;1;2;2;2;2;2;2;2;2;2;3;3;3;4;4;1;1;1;4;2;2;2;3;-99;-99;-99;2;3;3;3;3;3;1;1;5;5;2;4;5;2;7
7440;1;50;3;3;15;1;79;95;4;6;1;1;1;1;2;2;3;3;2;4;3;1;2;2;3;4;3;4;3;4;6;2;3;2;2;8;3;2;2;2;2;1;2;2;2;1;3;3;3;5;4;1;1;1;4;3;4;3;5;-99;-99;1;2;4;3;4;4;4;5;2;4;5;2;6;5;2;1
7441;2;46;3;2;20;1;90;94;4;4;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;5;2;8;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-99;-99;-99;2;3;3;3;3;3;4;4;4;4;4;4;4;4;5
7444;1;56;3;3;14;1;82;96;5;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;4;5;5;6;2;2;1;2;8;1;4;3;2;3;1;2;2;4;2;2;2;2;3;4;1;1;1;4;2;2;3;3;0;0;0;4;3;3;3;3;3;5;2;4;7;2;4;6;1;1
7446;1;67;4;4;4;2;57;0;5;6;1;1;-77;2;5;2;5;2;4;2;4;1;4;2;5;2;2;3;2;3;6;4;4;6;2;8;1;3;3;3;3;3;2;4;4;3;5;4;3;3;2;3;1;1;4;2;3;2;3;-99;-99;-99;3;4;5;2;3;5;7;1;5;5;2;5;6;1;7
7455;1;50;3;5;15;1;31;35;7;7;1;1;1;4;4;4;4;4;4;5;4;5;4;4;5;1;5;5;4;6;7;2;3;2;4;8;5;4;4;5;5;3;5;5;5;5;5;5;5;5;4;4;3;3;4;5;4;4;5;0;1;0;3;3;5;5;5;5;13;7;6;7;7;6;6;5;1
7456;1;77;4;2;12;1;104;162;3;3;1;1;1;2;4;3;4;3;3;4;4;2;3;4;4;2;2;2;2;3;3;4;4;3;3;8;1;2;3;2;3;3;3;2;2;2;2;3;3;4;2;1;1;1;4;2;2;2;3;0;0;0;2;4;4;2;3;4;4;2;5;5;2;5;4;4;7
7460;1;77;4;2;20;1;64;73;6;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;6;6;2;2;1;2;8;1;3;3;3;4;5;4;2;1;1;1;1;1;4;4;1;1;1;4;3;2;4;3;-99;-99;-99;1;5;2;5;3;2;4;2;3;7;2;5;6;2;7
7461;1;70;4;4;16;1;99;119;6;6;1;1;1;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;6;6;3;3;2;2;8;1;2;2;2;2;1;1;2;2;1;3;2;2;3;3;1;1;1;4;3;2;2;5;0;0;0;2;4;4;2;4;4;6;1;3;5;1;5;5;2;7
